player,team,games_played,mpg,ppg,rpg,apg,espn_id
Jason Jakstys,Illinois,9,5.2,1.3,1.9,0.2,5173645
Blake Fagbemi,Illinois,9,4.0,0.2,1.2,0.4,5311834
Bennett Stirtz,Iowa,33,37.5,20.0,2.5,4.5,5241364
Tavion Banks,Iowa,33,23.3,10.5,4.7,1.2,5241363
Alvaro Folgueiras,Iowa,33,21.0,8.1,3.8,2.3,5177211
Cooper Koch,Iowa,33,27.6,7.7,3.0,1.1,4873203
Cam Manyawu,Iowa,33,18.9,7.1,4.5,1.0,5176283
Kael Combs,Iowa,33,25.8,5.9,2.5,2.3,5176280
Tate Sage,Iowa,33,15.9,5.7,1.9,0.7,5311842
Isaia Howard,Iowa,33,18.8,5.4,2.8,1.2,5241366
Brendan Hausen,Iowa,21,10.3,4.0,0.7,0.5,5105589
Trevin Jirak,Iowa,16,8.3,3.6,1.0,1.2,5311843
Joey Matteoni,Iowa,11,3.7,1.5,0.6,0.3,5241367
Jacob Koch,Iowa,5,2.2,0.4,0.0,0.2,5239551
Milan Momcilovic,Iowa St.,34,30.1,17.1,3.1,0.9,4848637
Joshua Jefferson,Iowa St.,34,31.8,16.9,7.6,4.9,4870564
Tamin Lipsey,Iowa St.,31,31.6,13.3,4.0,5.0,5106254
Blake Buchanan,Iowa St.,34,24.1,8.4,5.7,1.5,5079838
Killyan Toure,Iowa St.,34,24.7,8.1,3.2,2.2,5248302
Jamarion Batemon,Iowa St.,34,15.2,6.9,1.2,0.4,5217196
Nate Heise,Iowa St.,34,24.3,4.7,4.0,1.6,4703912
Dominykas Pleta,Iowa St.,32,11.4,4.5,2.3,0.5,5281369
Dominick Nelson,Iowa St.,21,8.2,3.7,1.0,0.3,5241380
Xzavion Mitchell,Iowa St.,7,3.1,1.0,0.3,0.0,5101856
Cade Kelderman,Iowa St.,17,3.8,0.9,0.2,0.8,5175036
Eric Mulder,Iowa St.,19,3.7,0.9,1.5,0.2,5106790
Anthony Rise,Iowa St.,10,1.3,0.2,0.6,0.0,5311915
Darryn Peterson,Kansas,22,28.4,19.8,4.4,1.7,5041955
Tre White,Kansas,33,31.4,13.8,6.7,1.8,5105643
Flory Bidunga,Kansas,33,31.7,13.5,9.2,1.5,5044426
Melvin Council Jr.,Kansas,33,34.8,12.9,4.8,5.1,5177301
Bryson Tiller,Kansas,33,25.9,8.2,6.0,1.0,5041958
Elmarko Jackson,Kansas,32,18.0,4.9,1.8,1.5,4872739
Jamari McDowell,Kansas,33,17.7,3.5,1.6,1.2,5103571
Kohl Rosario,Kansas,28,11.7,3.3,1.3,0.5,5291864
Jayden Dawson,Kansas,24,9.5,2.1,0.6,0.6,5105964
Nginyu Ngala,Kansas,12,3.3,1.3,0.6,0.3,5311916
Wilder Evers,Kansas,7,2.6,1.1,0.3,0.0,5106260
Paul Mbiya,Kansas,19,4.1,0.7,1.1,0.1,5281379
Samis Calderon,Kansas,16,4.1,0.4,0.8,0.3,5252599
Justin Cross,Kansas,6,2.2,0.0,0.3,0.2,5175889
Will Thengvall,Kansas,6,1.3,0.0,0.2,0.0,5240262
Rob Lee Jr.,Kennesaw St.,31,28.2,16.0,3.2,2.0,5313558
Braden East,Kennesaw St.,30,24.0,12.8,9.1,0.7,5242573
Andrew Holifield,Kennesaw St.,31,28.6,11.7,4.6,1.5,5116468
Cody Pennebaker,Kennesaw St.,31,27.5,7.1,4.3,2.5,5108080
King-Njhsanni Wilhite,Kennesaw St.,29,21.0,5.8,1.1,2.5,5313554
Errol White,Kennesaw St.,31,22.3,5.0,4.9,1.2,5176637
Eian Lowe,Kennesaw St.,30,17.9,4.3,1.5,2.5,5313555
Jayden Gambrell,Kennesaw St.,30,11.2,4.0,0.8,0.4,5242574
Jayden Barrs,Kennesaw St.,7,11.7,3.1,1.3,1.1,5176636
B.B. Knight,Kennesaw St.,20,8.1,2.7,0.6,0.4,5106641
Janko Bulajic,Kennesaw St.,31,11.7,1.5,3.1,0.9,5123799
