player,team,entry,seed,region,injury_status,in_tournament_injury,proj_rank,proj_ppg,proj_games,proj_total,actual_pts,actual_games,residual,pct_error,matched
Tyler Bilodeau,UCLA,Matt D.,7,East,HEALTHY,,64,17.1,2.04,34.8,0,2,-34.8,-100.0,1
Eric Dailey Jr.,UCLA,Merbers,7,East,HEALTHY,,135,11.3,2.04,23.0,32,2,9.0,39.1,1
Donovan Dent,UCLA,Rich,7,East,HEALTHY,,102,13.4,2.04,27.3,21,2,-6.3,-23.0,1
Silas Demary Jr.,Connecticut,Bruce & Ryan,2,East,PROBABLE,,62,10.9,3.22,35.1,24,6,-11.1,-31.6,1
Alex Karaban,Connecticut,Griffin,2,East,HEALTHY,,55,11.9,3.22,38.3,97,6,58.7,153.2,1
Braylon Mullins,Connecticut,Griffin,2,East,HEALTHY,,57,11.6,3.22,37.3,73,6,35.7,95.5,1
Eric Reibe,Connecticut,Griffin,2,East,HEALTHY,,143,6.8,3.22,21.9,6,6,-15.9,-72.6,1
Solo Ball,Connecticut,Schlossbergs,2,East,HEALTHY,,53,12.2,3.22,39.3,55,6,15.7,40.0,1
Jayden Ross,Connecticut,Terry,2,East,HEALTHY,,237,4.7,3.22,15.1,24,6,8.9,58.6,1
Tarris Reed Jr.,Connecticut,Terry,2,East,HEALTHY,,33,13.5,3.22,43.5,117,6,73.5,169.2,1
Mason Falslev,Utah St.,Elizabeth,9,West,HEALTHY,,108,16.6,1.66,27.5,30,2,2.5,9.0,1
MJ Collins Jr.,Utah St.,Grace & Pat,9,West,HEALTHY,,103,17.2,1.66,28.5,32,2,3.5,12.2,1
AK Okereke,Vanderbilt,Elizabeth,5,South,HEALTHY,,128,9.7,2.6,25.2,16,2,-9.2,-36.6,1
Duke Miles,Vanderbilt,John & Claire,5,South,HEALTHY,,40,17.3,2.6,45.0,22,2,-23.0,-51.1,1
Jalen Washington,Vanderbilt,Rich,5,South,HEALTHY,,145,9.1,2.6,23.7,10,2,-13.7,-57.8,1
Tyler Nickel,Vanderbilt,Rich,5,South,HEALTHY,,89,12.1,2.6,31.5,28,2,-3.5,-11.1,1
Tyler Tanner,Vanderbilt,Rich,5,South,HEALTHY,,23,20.5,2.6,53.3,53,2,-0.3,-0.6,1
Devin McGlockton,Vanderbilt,Schlossbergs,5,South,HEALTHY,,132,9.6,2.6,25.0,15,2,-10.0,-39.9,1
Lazar Djokovic,VCU,Elizabeth,11,South,HEALTHY,,172,12.9,1.53,19.7,17,2,-2.7,-13.8,1
Jadrian Tracey,VCU,Lucas,11,South,HEALTHY,,258,9.9,1.53,15.1,7,2,-8.1,-53.7,1
Terrence Hill Jr.,VCU,Lucas,11,South,HEALTHY,,141,15.1,1.53,23.1,51,2,27.9,120.9,1
Acaden Lewis,Villanova,Bruce & Ryan,8,West,HEALTHY,,198,11.6,1.54,17.8,7,1,-10.8,-60.7,1
Bryce Lindsay,Villanova,Matt D.,8,West,HEALTHY,,192,11.9,1.54,18.3,25,1,6.7,36.8,1
Tyler Perkins,Villanova,Michael D.,8,West,HEALTHY,,160,13.4,1.54,20.6,15,1,-5.6,-27.1,1
Duke Brennan,Villanova,Rich,8,West,HEALTHY,,167,13.0,1.54,20.0,15,1,-5.0,-24.9,1
